Wavelength,ATTO465 EM,ATTO465 EX,ATTO488 EM,ATTO488 EX,ATTO520 EM,ATTO520 EX,ATTO532 EM,ATTO532 EX,ATTO550 EM,ATTO550 EX,ATTO565 EM,ATTO565 EX,ATTO590 EM,FAM EM,FAM EX,ATTO590 EX,ATTO594 EM,ATTO594 EX,ATTO620 EM,ATTO620 EX,ATTO647N EM,ATTO647N EX,ATTO655 EM,ATTO655 EX,ATTO680 EM,ATTO680 EX,Cy3 EM,Cy3 EX,Cy5 EM,Cy5 EX,Cy5_5 EM,Cy5_5 EX,HEX EM,HEX EX,JOE EM,JOE EX,ROX EM,ROX EX,TAMRA EM,TAMRA EX,TexasRed EM,TexasRed EX,Rhodamine6G EM,Rhodamine6G EX
344,,0.016597403,,0.065471863,,0.099445887,,0.042649351,,0.035264069,,0.044536798,,,0.033351999,0.074281385,,0.048233765,,0.015796538,,0.019926406,,0.012627706,,0.039627705,,,,,,,,0.052265801,,0.0714,,0.056,,,,,,
345,,0.017281386,,0.063640694,,0.093948051,,0.042818183,,0.035753246,,0.046372295,,,0.030829599,0.075857143,,0.048766233,,0.015692641,,0.019251081,,0.012372294,,0.040770563,,,,,,,,0.0499072,,0.0737,,0.0566,,,,,,
346,,0.018229437,,0.061354979,,0.086748916,,0.043108226,,0.036545453,,0.048229438,,,0.0284473,0.077233767,,0.049341991,,0.0155671,,0.018675324,,0.012138528,,0.042,,,,,,,,0.047060098,,0.0767,,0.0577,,,,,,
347,,0.018909091,,0.058948053,,0.078177488,,0.04348052,,0.037350648,,0.05009091,,,0.0255045,0.078658009,,0.050047619,,0.015372295,,0.018112553,,0.011969697,,0.043320347,,,,,,,,0.043668799,,0.0797,,0.0585,,,,,,
348,,0.01964935,,0.056372296,,0.069090908,,0.044229438,,0.038454544,,0.051891776,,,0.0235426,0.080043291,,0.050878788,,0.015108225,,0.017675324,,0.012,,0.044402597,,,,,,,,0.0399983,,0.0816,,0.06,,,,,,
349,,0.020645021,,0.054,,0.059943722,,0.044982685,,0.039632035,,0.053519482,,,0.022001101,0.081060606,,0.051878788,,0.015017316,,0.017432901,,0.011939394,,0.045489177,,,,,,,,0.036397599,,0.0828,,0.0614,,,,,,
350,,0.021761905,,0.051627706,,0.051324675,,0.045502165,,0.041190477,,0.054861473,,,0.020319499,0.082043289,,0.05304762,,0.015160174,,0.017077923,,0.011831169,,0.046580086,,,,,,,,0.0326434,,0.0837,,0.063,,,,,,
351,,0.023246754,,0.049142857,,0.043965367,,0.045593074,,0.042974027,,0.056138529,,,0.0193386,0.082748916,,0.054341992,,0.015645022,,0.01683117,,0.011766234,,0.047523808,,,,,,,,0.0290986,,0.0842,,0.0638,,,,,,
352,,0.024878788,,0.046675324,,0.037852814,,0.045194806,,0.045450217,,0.05748052,,,0.0182175,0.083354977,,0.055675325,,0.016251083,,0.016445889,,0.011744589,,0.04821212,,,,,,,,0.026042201,,0.083,,0.0648,,,,,,
353,,0.026770563,,0.044311687,,0.033138528,,0.044333334,,0.048138529,,0.059017316,,,0.0173767,0.083658007,,0.057203463,,0.01695671,,0.016341992,,0.011766234,,0.048580085,,,,,,,,0.022985799,,0.0819,,0.0665,,,,,,
354,,0.028748918,,0.042186146,,0.029580087,,0.042982684,,0.050982685,,0.060878788,,,0.0169563,0.083922076,,0.058796537,,0.018030303,,0.016277057,,0.01174026,,0.048891774,,,,,,,,0.0205993,,0.0797,,0.0674,,,,,,
355,,0.03026407,,0.040341991,,0.02678355,,0.041580086,,0.053593074,,0.062818182,,,0.0162556,0.084168831,,0.060415584,,0.019077922,,0.016251083,,0.011909091,,0.04921212,,,,,,,,0.018296501,,0.0758,,0.0684,,,,,,
