Wavelength,ATTO465 EM,ATTO465 EX,Cy3 EM,Cy3 EX,Cy5 EM,Cy5 EX,Cy5.5 EM,Cy5.5 EX,HEX EM,HEX EX,JOE EM,JOE EX,ROX EM,ROX EX,TAMRA EM,TAMRA EX,TexasRed EM,TexasRed EX,Rhodamine6G EM,Rhodamine6G EX
458,0.033818183,0.94448486,,0.0291,,,,,,0.054973301,,0.0906,,0.038,0,0.0221,0,0.003,,0.1
459,0.040787879,0.918372316,,0.0307,,,,,,0.057722598,,0.0943,,0.0378,0,0.0229,0,0.0025,,0.1051
460,0.048987013,0.887653695,,0.0325,,,,,,0.0603185,,0.0995,,0.0378,0,0.0234,0,0.0032,,0.1113
461,0.058437229,0.852129877,,0.0341,,,,,,0.063193403,,0.1037,,0.0381,0,0.0246,0,0.0039,,0.1172
462,0.069268397,0.812792205,,0.0357,,,,,,0.065510198,,0.1083,,0.0378,0,0.0264,0,0.0042,,0.1235
463,0.081432901,0.76971428,,0.0374,,,,,,0.068106003,,0.115,,0.0375,0,0.0276,0,0.0037,,0.1303
464,0.094948051,0.724160165,,0.0413,,,,,,0.070646003,,0.1205,,0.0375,0,0.0289,0,0.0044,,0.1365
465,0.109943721,0.676857134,,0.0432,,,,,,0.073214002,,0.1261,,0.0377,0,0.0307,0,0.0035,,0.1438
466,0.126285712,0.628445881,,0.0468,,,,,,0.075823799,,0.1347,,0.0378,0,0.033,0,0.0056,,0.1506
467,0.144285711,0.579943725,,0.0488,,,,,,0.078642897,,0.1416,,0.0381,0,0.0356,0,0.0063,,0.1577
468,0.16403463,0.532060611,,0.0506,,,,,,0.081238702,,0.1491,,0.0384,0,0.0382,0,0.0056,,0.1654
469,0.184978354,0.485134204,,0.0543,,,,,,0.084043898,,0.1604,,0.0389,0,0.0403,0,0.0052,,0.1736
470,0.207385285,0.440151522,,0.0594,,,,,,0.087114297,,0.1692,,0.0392,0,0.0435,0,0.0041,,0.1818
471,0.23101732,0.397064946,,0.0615,,,,,,0.090659201,,0.1785,,0.0402,0,0.0452,0,0.0039,,0.1903
472,0.255792211,0.356519485,,0.0669,,,,,,0.094078399,,0.1918,,0.0406,0,0.0486,0,0.0029,,0.1997
473,0.281826843,0.318497838,,0.07,,,,,,0.098055899,,0.2022,,0.0416,0,0.0509,0,0.0033,,0.2096
474,0.308861474,0.283277055,,0.0765,,,,,,0.102242999,,0.2129,,0.0424,0,0.0539,0,0.0023,,0.2204
475,0.337012989,0.250917743,,0.0813,,,,,,0.107504003,,0.2284,,0.0435,0,0.0561,0,0.0016,,0.2315
476,0.365822517,0.221415578,,0.0864,,,,,,0.112905003,,0.2398,,0.0445,0,0.0582,0,0.0008,,0.2435
477,0.395147196,0.194748914,,0.0914,,,,,,0.118947998,,0.2513,,0.046,0,0.061,0,0.0004,,0.2563
478,0.424974034,0.171255412,,0.0983,,,,,,0.125410005,,0.2671,,0.0474,0,0.0644,0,0.0018,,0.2709
479,0.455129869,0.150346322,,0.103,,,,,,0.133365005,,0.2787,,0.0489,0,0.0675,0,0.0029,,0.2859
480,0.485463199,0.131969699,,0.1075,,,,,,0.141641006,,0.2898,,0.0503,0,0.0708,0,0.0028,,0.3021
481,0.516129862,0.115519483,,0.1149,,,,,,0.150671005,,0.3044,,0.0522,0,0.0741,0,0.005,,0.3188
482,0.54724675,0.100965368,,0.1184,,,,,,0.160482004,,0.3149,,0.0538,0,0.0785,0,0.0038,,0.3366
483,0.57878355,0.087943722,,0.1253,,,,,,0.171353996,,0.3246,,0.056,0,0.083,0,0.0034,,0.3549
484,0.610134204,0.076268398,,0.1322,,,,,,0.182769999,,0.3364,,0.0575,0,0.0876,0,0.0044,,0.3741
485,0.64097403,0.065926406,,0.1367,,,,,,0.194772005,,0.3446,,0.06,0,0.0906,0,0.0045,,0.3942
486,0.671155849,0.056878787,,0.1404,,,,,,0.207277,,0.352,,0.062,0,0.0956,0,0.0051,,0.4143
487,0.700558441,0.04890909,,0.1469,,,,,,0.220256001,,0.3612,,0.0645,0,0.1004,0,0.0065,,0.4359
488,0.728991341,0.041999999,,0.1508,,,,,,0.233109996,,0.3675,,0.0665,0,0.1047,0,0.0065,,0.4575
489,0.756705625,0.036090908,,0.1573,,,,,,0.246437997,,0.3737,,0.0693,0,0.109,0,0.0081,,0.4803
490,0.783952375,0.031212121,,0.1614,,,,,,0.259472996,,0.3816,,0.0716,0,0.1151,0,0.0098,,0.5028
491,0.810073587,0.027103896,,0.1675,,,,,,0.271712005,,0.3876,,0.0744,0,0.1221,0,0.0118,,0.5262
492,0.834727264,0.023683983,,0.1741,,,,,,0.283380002,,0.3935,,0.077,0,0.1277,0,0.015,,0.5492
493,0.857372288,0.020805195,,0.1799,,,,,,0.293805003,,0.4023,,0.0795,0,0.1345,0,0.0163,,0.5719
494,0.878411254,0.018207792,,0.1862,,,,,,0.303629994,,0.4097,,0.0824,0,0.1419,0,0.0184,,0.5936
495,0.897709957,0.015896104,,0.1949,,,,,,0.311919987,,0.418,,0.0851,0,0.1486,0,0.0179,,0.6154
496,0.91548919,0.013896104,,0.1999,,,,,,0.318856001,,0.4305,,0.0875,0,0.1558,0,0.02,,0.6361
497,0.932082266,0.012298701,,0.2102,,,,,,0.324396998,,0.441,,0.0902,0,0.164,0,0.0214,,0.6547
498,0.947268407,0.011017316,,0.219,,,,,,0.328359991,,0.4531,,0.0929,0,0.1737,0,0.0234,,0.6721
499,0.960787888,0.009787879,,0.2264,,,,,,0.330942005,,0.4721,,0.0956,0,0.1838,0,0.0267,,0.687
500,0.972627709,0.008878788,,0.2379,,,,,,0.332812011,0.0051,0.488,,0.0981,0,0.1937,0,0.0276,0.0081,0.701
501,0.982264076,0.008047619,,0.2606,,,,,,0.333718985,0.0052,0.5057,,0.101,0,0.2047,0,0.0314,0.0097,0.7125
502,0.989658011,0.007341991,,0.2755,,,,,,0.333732992,0.006,0.5324,,0.1038,0,0.2137,0,0.0335,0.011,0.7224
503,0.994740264,0.006675325,,0.2861,,,,,,0.333622009,0.007,0.5541,,0.1071,0,0.2242,0,0.0356,0.013,0.7303
504,0.997835514,0.006203463,,0.3035,,,,,,0.333678007,0.0084,0.5776,,0.11,0,0.2358,0,0.038,0.0152,0.737
505,0.999285735,0.005705628,,0.3268,,,,,,0.334347993,0.0102,0.6128,,0.1136,0,0.2461,0,0.0394,0.018,0.7428
506,0.999121224,0.005203463,,0.3457,,,,,,0.335785002,0.0123,0.6401,,0.1171,0,0.2561,0,0.0417,0.021,0.748
507,0.998060612,0.004675325,,0.3586,,0.0105,,,,0.338171005,0.0146,0.6687,,0.121,0,0.266,0,0.0422,0.0242,0.7535
508,0.996229437,0.004341991,,0.3765,,0.0105,,,,0.342148989,0.0173,0.7095,,0.1245,0,0.2779,0,0.045,0.0279,0.7597
509,0.993402594,0.004138528,,0.3957,,0.0105,,,,0.347829014,0.0211,0.7398,,0.1297,0,0.2891,0,0.0481,0.0326,0.7673
510,0.989489174,0.004,,0.4222,,0.0105,,,,0.355533004,0.0253,0.7705,,0.1342,0,0.2987,0,0.0492,0.0377,0.7762
511,0.984398268,0.003679654,,0.4403,,0.0105,,,,0.365469992,0.0311,0.8127,,0.1396,0,0.3071,0,0.0517,0.0429,0.7872
512,0.978190477,0.003597403,,0.4579,,0.0105,,,,0.378044009,0.0377,0.8432,,0.1449,0,0.3133,0,0.0512,0.0492,0.7996
513,0.971125546,0.003510823,,0.4747,,0.014,,0.011577814,,0.392558992,0.0446,0.8723,,0.1516,0,0.3218,0,0.0549,0.0552,0.8145
514,0.963467538,0.003510823,0,0.4895,,0.014,,0.011577814,,0.410115004,0.0538,0.9091,,0.1581,0,0.3319,0,0.0578,0.0648,0.8302
515,0.955346326,0.003597403,0.001,0.5039,,0.014,,0.011567841,,0.430379987,0.0633,0.9332,,0.1656,0,0.3371,0,0.058,0.0748,0.8475
516,0.946848494,0.003770563,0.002,0.5057,,0.014,,0.011567841,,0.45372799,0.0743,0.9541,,0.1736,0,0.3443,0,0.0637,0.0869,0.8661
517,0.937445895,0.004030303,0.003,0.5179,,0.0175,,0.011557869,,0.479393989,0.088,0.9775,,0.1822,0,0.353,0,0.0634,0.1012,0.886
518,0.926961045,0.004090909,0.004,0.5249,,0.0175,,0.011547897,,0.508589983,0.1023,0.9896,,0.1908,0,0.3578,0,0.0656,0.116,0.9059
519,0.915432907,0.004,0.005,0.5283,,0.0175,,0.013482519,,0.539683998,0.1188,0.9974,,0.2008,0,0.3648,0,0.0704,0.1324,0.9253
520,0.903073591,0.004,0.006,0.5279,,0.0175,,0.013482519,,0.57366699,0.1374,1,,0.2107,0,0.3705,0,0.0727,0.1485,0.9437
521,0.890510827,0.004,0.007,0.5343,,0.0176,,0.013472546,,0.609605014,0.1588,0.9958,,0.2214,0,0.3775,0,0.0779,0.1688,0.9608
522,0.878307364,0.004090909,0.008,0.5291,,0.021,,0.013472546,,0.64784497,0.1839,0.987,,0.2323,0,0.3839,0,0.0812,0.1938,0.9759
523,0.866571431,0.004030303,0.009,0.5296,,0.021,,0.013462574,,0.687870979,0.2115,0.9669,,0.2432,0,0.3923,0,0.0857,0.2175,0.9865
524,0.855060613,0.003861472,0.01,0.5248,,0.0245,,0.013452602,,0.728316009,0.2393,0.9469,,0.2545,0,0.4026,0,0.0917,0.2442,0.9955
