Wavelength,ATTO425 EM,ATTO425 EX,ATTO465 EM,ATTO465 EX,FAM EM,FAM EX,ATTO488 EM,ATTO488 EX,JOE EM,JOE EX,HEX EM,HEX EX,Cy3 EM,Cy3 EX,ROX EM,ROX EX,Cy3.5 EM,Cy3.5 EX,CAL560 EM,CAL560 EX,CAL590 EM,CAL590 EX,CAL610 EM,CAL610 EX,Cy5 EM,Cy5 EX,Cy5.5 EM,Cy5.5 EX
394,0.014194805,0.966883114,0.001251082,0.89175756,,0.0184978,,0.0902684,,0.0167,,0.016635699,,,,0.0427,,,,0.034379501,,0.02,,0.0183015,,,,
395,0.017471861,0.952640689,0.001554113,0.908636346,,0.018357599,,0.094943724,,0.0171,,0.0171382,,,,0.0424,,,,0.034225099,,0.02,,0.0177147,,,,
396,0.02161039,0.935571433,0.002038961,0.925562764,,0.0182175,,0.100147187,,0.0171,,0.017319599,,,,0.0419,,,,0.0341391,,0.02,,0.0171862,,,,
397,0.026402598,0.916008668,0.003034632,0.941826837,,0.0184978,,0.105852814,,0.0167,,0.017808,,,,0.0418,,,,0.033956401,,0.02,,0.0168186,,,,
398,0.032108225,0.893883123,0.004406926,0.957099573,,0.018637899,,0.111965368,,0.0169,,0.0182686,,,,0.0412,,,,0.033794899,,0.02,,0.016744399,,,,
399,0.038896105,0.869147186,0.006359307,0.970567103,,0.018637899,,0.118792207,,0.0169,,0.018575599,,,,0.0415,,,,0.033473201,,0.02,,0.016581099,,,,
400,0.047086581,0.8417316,0.008675325,0.982238092,,0.0190583,,0.126333332,,0.0169,,0.018966399,,0.0019,,0.0415,,,,0.0330736,,0.02,,0.0164178,,,,
401,0.056822512,0.812073583,0.011004329,0.991077927,,0.0190583,,0.134476189,,0.0169,,0.0191758,,0.002,,0.0412,,,,0.032667,,0.02,,0.0163939,,,,
402,0.068073594,0.779939379,0.013103896,0.997207787,,0.0193386,,0.143510819,,0.0169,,0.019566501,,0.0019,,0.0411,,,,0.032352298,,0.029999999,,0.0163288,,,,
403,0.081030304,0.745666644,0.014991342,0.999614712,,0.0196188,,0.152995668,,0.0174,,0.0201666,,0.0019,,0.0412,,,,0.0321366,,0.029999999,,0.0164041,,,,
404,0.095969698,0.709701285,0.016991342,0.99825974,,0.0201794,,0.163086575,,0.0174,,0.020278299,,0.0022,,0.0413,,,,0.031786501,,0.029999999,,0.016602799,,,,
405,0.112926407,0.672510815,0.019645022,0.992168833,,0.0207399,,0.17363203,,0.0172,,0.020501601,,0.0021,,0.0418,,,,0.0312526,,0.029999999,,0.0167078,,,,
406,0.132268398,0.634316017,0.023138529,0.981316027,,0.020880001,,0.184458871,,0.0174,,0.021031899,,0.0025,,0.0423,,,,0.030912001,,0.029999999,,0.0167649,,,,
407,0.153852815,0.595670995,0.027969698,0.965471874,,0.0213004,,0.196034628,,0.0174,,0.021157499,,0.0021,,0.0426,,,,0.0305843,,0.029999999,,0.016945301,,,,
