Wavelength,FAM EM,FAM EX,Cy3 EM,Cy3 EX,CAL610 EM,CAL610 EX,Cy5.5 EM,Cy5.5 EX
646,0.0158555,,0.0263,0,0.346417993,0.00188141,0.016558077,0.46559563
647,0.0151071,,0.0248,0,0.33723399,0.00153892,0.016548084,0.47141945
648,0.0148826,,0.0234,0,0.328402013,0.00131516,0.024312494,0.48891082
649,0.0136985,,0.022,0,0.320060015,0.00110282,0.024312494,0.49667922
650,0.013781,,0.0208,,0.312440991,0.000940707,0.028189704,0.51028144
651,0.0129731,,0.02,,0.305633008,,0.03401551,0.5277728
652,0.0127236,,0.018,,0.299560994,,0.03401551,0.5530326
653,0.0128733,,0.017,,0.294059992,,0.043728516,0.5841261
654,0.0119521,,0.016,,0.288942009,,0.043718524,0.5938391
655,0.0114186,,0.015,,0.284218997,,0.059267327,0.63271105
656,0.0114838,,0.014,,0.280000001,,0.06509313,0.65020245
657,0.0116143,,0.013,,0.276075989,,0.06897034,0.6638046
658,0.0116796,,0.012,,0.272220999,,0.08645775,0.681296
659,0.0100733,,0.011,,0.268498003,,0.092293546,0.7123896
660,0.0101846,,0.009,,0.264876008,,0.11366816,0.73182553
661,0.0102959,,0.008,,0.261213988,,0.12144256,0.7668083
662,0.00928073,,0.007,,0.257560998,,0.15254018,0.8153932
663,0.00865894,,0.006,,0.253991991,,0.16614038,0.83677375
664,0.00875106,,0.005,,0.250512987,,0.1797406,0.85037595
665,0.00884317,,0.004,,0.246999994,,0.21473539,0.8931371
666,0.00856298,,0.003,,0.243303999,,0.2283356,0.90673923
667,0.00865126,,0.002,,0.239382997,,0.27304342,0.9242207
668,0.00797958,,0.001,,0.235234007,,0.28859222,0.9553142
669,0.00729255,,0.0005,,0.230985999,,0.33912584,0.96892637
670,0.00736547,,0,,0.226897001,,0.36051044,0.9864078
671,0.0074384,,,,0.222857997,,0.38772085,0.9941762
672,0.00715053,,,,0.218738005,,0.45770046,1
673,0.00721962,,,,0.214608997,,0.47908506,1
674,0.00688378,,,,0.210253999,,0.5490547,0.99999005
675,,,,,0.205541,,0.5685007,0.99999005
676,,,,,0.200744003,,0.6384803,0.9863679
677,,,,,0.196051002,,0.6598549,0.97858953
678,,,,,0.191466004,,0.7356703,0.9688665
679,,,,,0.186998993,,0.7667679,0.947476
680,,,,,0.182609007,,0.7881525,0.9299747
681,,,,,0.178205997,,0.81342435,0.89691657
682,,,,,0.173639998,,0.8367475,0.885249
683,,,,,0.168846995,,0.87950677,0.8444225
684,,,,,0.163975999,,0.912543,0.82692116
685,,,,,0.159133002,,0.9475378,0.7666487
686,,,,,0.154312,,0.95918936,0.74720275
687,,,,,0.149555996,,0.9727996,0.71804386
688,,,,,0.144860998,,0.9941742,0.67332816
689,,,,,0.140254006,,0.9961128,0.60138816
690,,,,,0.135957003,,1,0.5663954
691,,,,,0.132058993,,0.99999,0.5450049
692,,,,,0.128431007,,0.99999,0.47890863
693,,,,,0.124958999,,0.99998003,0.4575181
694,,,,,0.121533997,,0.99997,0.38753265
695,,,,,0.117973998,,0.99413425,0.36030835
696,,,,,0.114313997,,0.9863498,0.32142642
697,,,,,0.110798001,,0.9649552,0.29809132
698,,,,,0.107516997,,0.95911944,0.2630886
699,,,,,0.104393996,,0.92411464,0.24170806
700,,,,,0.101342,,0.91244304,0.22808592
701,,,,,0.098303303,,0.89688426,0.1930932
702,,,,,0.095257796,,0.8618894,0.18337023
703,,,,,0.092249997,,0.84438205,0.15225673
704,,,,,0.089418903,,0.795777,0.14253376
705,,,,,0.086764403,,0.7607722,0.12503241
706,,,,,0.084174402,,0.7393777,0.11335487
707,,,,,0.081632197,,0.72576743,0.10752109
708,,,,,0.079175599,,0.68104964,0.09196434
709,,,,,0.076891102,,0.66742945,0.08613056
710,,,,,0.074885599,,0.64603484,0.072508425
711,,,,,0.073105603,,0.5974299,0.06473005
712,,,,,0.0714022,,0.5624251,0.060840864
713,,,,,0.069666699,,0.5410404,0.05499711
714,,,,,0.067878902,,0.5274203,0.05110792
715,,,,,0.06611,,0.49241546,0.04331957
716,,,,,0.064452201,,0.47880527,0.041374978
717,,,,,0.062876701,,0.44768766,0.03358663
718,,,,,0.061328899,,0.43991327,0.03358663
719,,,,,0.0597989,,0.40490848,0.02968747
720,,,,,0.058284398,,0.39518547,0.027732903
721,,,,,0.056746699,,0.37379086,0.027732903
722,,,,,0.055168901,,0.36405787,0.023833742
