Wavelength,FAM EM,FAM EX,ROX (carboxy-X-rhodamine) EM,ROX (carboxy-X-rhodamine) EX,Cy3 EM,Cy3 EX,Cy5.5 EM,Cy5.5 EX
740,,,0.0266,,,,0.21813294,0.010111889
741,,,0.0209,,,,0.21424574,0.012046511
742,,,0.0227,,,,0.21423575,0.012046511
743,,,0.0214,,,,0.21033856,0.012036538
744,,,0.0217,,,,0.20644136,0.012036538
745,,,0.0219,,,,0.20644136,0.012026566
746,,,0.019,,,,0.20643137,0.012016594
747,,,0.0159,,,,0.20448276,0.012006622
748,,,0.0159,,,,0.20447278,0.012006622
749,,,0.0144,,,,0.20447278,
750,,,,,,,0.20057559,
751,,,,,,,0.20056559,
752,,,,,,,0.1966684,
753,,,,,,,0.1966684,
754,,,,,,,0.1966584,
755,,,,,,,0.1966584,
756,,,,,,,0.19276121,
757,,,,,,,0.19080262,
758,,,,,,,0.19080262,
759,,,,,,,0.18690543,
760,,,,,,,0.18690543,
761,,,,,,,0.18300822,
762,,,,,,,0.18299824,
763,,,,,,,0.17910105,
764,,,,,,,0.17520384,
765,,,,,,,0.17325526,
766,,,,,,,0.16936806,
767,,,,,,,0.16935806,
768,,,,,,,0.16157366,
769,,,,,,,0.16157366,
770,,,,,,,0.15572788,
771,,,,,,,0.15183067,
772,,,,,,,0.14794348,
773,,,,,,,0.14404629,
774,,,,,,,0.1420977,
775,,,,,,,0.1382005,
776,,,,,,,0.1381905,
777,,,,,,,0.13040611,
778,,,,,,,0.1265189,
779,,,,,,,0.12456032,
780,,,,,,,0.12067312,
781,,,,,,,0.11677592,
782,,,,,,,0.10899153,
783,,,,,,,0.10899153,
784,,,,,,,0.10314574,
785,,,,,,,0.09924854,
786,,,,,,,0.09536134,
787,,,,,,,0.09146415,
788,,,,,,,0.08951555,
789,,,,,,,0.085618354,
790,,,,,,,0.08560836,
791,,,,,,,0.081721164,
792,,,,,,,0.07782397,
793,,,,,,,0.07587537,
794,,,,,,,0.071978174,
795,,,,,,,0.07196818,
796,,,,,,,0.068070985,
797,,,,,,,0.06418379,
798,,,,,,,0.064173795,
