Wavelength,FAM EM,FAM EX,ROX (carboxy-X-rhodamine) EM,ROX (carboxy-X-rhodamine) EX,Cy3 EM,Cy3 EX,Cy5.5 EM,Cy5.5 EX,JOE EM,JOE EX,Cy3.5 EM,Cy3.5 EX,CAL560 EM,CAL560 EX,CAL590 EM,CAL590 EX,CAL610 EM,CAL610 EX,Cy5 EM,Cy5 EX,HEX EM,HEX EX,TexasRed EM,TexasRed EX
427,,0.053671502,,0.0465,,0.0053,,,,0.0234,,,,0.025549199,,0.02,,0.023014201,,,,0.023488199,0,0.0044
428,,0.057735398,,0.0461,,0.0057,,,,0.0239,,,,0.0255362,,0.02,,0.023126099,,,,0.023488199,0,0.0044
429,,0.0608184,,0.0464,,0.0058,,,,0.0244,,,,0.0253477,,0.02,,0.023038199,,,,0.023488199,0,0.0038
430,,0.064041503,,0.0461,,0.0058,,,,0.0251,,,,0.025115499,,0.02,,0.022932,,,,0.023920801,0,0.0044
431,,0.068385698,,0.0456,,0.006,,,,0.0257,,,,0.0249281,,0.02,,0.022808701,,,,0.0241441,0,0.006
432,,0.071748897,,0.0454,,0.006,,,,0.0266,,,,0.0248845,,0.02,,0.022768799,,,,0.024004599,0,0.0054
433,,0.075112097,,0.0446,,0.0073,,,,0.0274,,,,0.024963399,,0.02,,0.022515301,,,,0.0244093,0,0.0048
434,,0.080016799,,0.0448,,0.0079,,,,0.0283,,,,0.024975199,,0.02,,0.0224308,,,,0.024646601,0,0.0032
435,,0.083800502,,0.0447,,0.0078,,,,0.0295,,,,0.025149699,,0.02,,0.0222288,,,,0.024842,0,0.0047
436,,0.087584101,,0.0444,,0.0088,,,,0.0309,,,,0.025156699,,0.02,,0.0219285,,,,0.025023401,0,0.0052
437,,0.093469702,,0.0439,,0.0087,,,,0.0324,,,,0.025036501,,0.02,,0.021743599,,,,0.025232701,0,0.0056
438,,0.097953998,,0.0442,,0.0095,,,,0.0338,,,,0.0251108,,0.02,,0.0214079,,,,0.0258328,0,0.0035
439,,0.102719001,,0.0434,,0.0097,,,,0.0355,,,,0.0256093,,0.02,,0.0211716,,,,0.0259584,0,0.0035
440,,0.110146001,,0.0435,,0.0104,,,,0.0375,,,,0.025904,,0.02,,0.020961599,,,,0.026628301,0,0.003
441,,0.115891002,,0.0436,,0.0108,,,,0.0394,,,,0.0262894,,0.01,,0.0206887,,,,0.0271866,0,0.0041
442,,0.122056998,,0.043,,0.0118,,,,0.042,,,,0.026729001,,0.01,,0.0206168,,,,0.0276192,0,0.0025
443,,0.131446004,,0.0428,,0.0122,,,,0.0441,,,,0.0272936,,0.01,,0.020408999,,,,0.028317001,0,0.0025
444,,0.139014006,,0.0426,,0.0129,,,,0.0464,,,,0.028047901,,0.01,,0.020349599,,,,0.0290707,0,0.0025
445,,0.147000998,,0.0423,,0.0136,,,,0.0498,,,,0.028844699,,0.01,,0.020253699,,,,0.029796399,0,0.003
446,,0.159052998,,0.0423,,0.0149,,,,0.0522,,,,0.029740401,,0.01,,0.0200106,,,,0.031261802,0,0.0015
447,,0.168582007,,0.042,,0.015,,,,0.0547,,,,0.0308106,,0.01,,0.020041401,,,,0.032517798,0,0.001
448,,0.178531006,,0.0417,,0.0163,,,,0.0582,,,,0.031772401,,0.01,,0.0199364,,,,0.033941399,0,0.0028
449,,0.192684993,,0.0415,,0.0175,,,,0.0608,,,,0.033024099,,0.01,,0.019816499,,,,0.035169501,0,0.004
450,,0.203474998,,0.0412,,0.0183,,,,0.0637,,,,0.034297001,,0.01,,0.019730899,,,,0.036481399,0,0.0043
451,,0.214545995,,0.0406,,0.0186,,,,0.0672,,,,0.035588801,,0.01,,0.019557299,,,,0.038714401,0,0.0034
452,,0.230101004,,0.0404,,0.0207,,,,0.07,,,,0.037062101,,0.01,,0.019407799,,,,0.040431,0,0.0039
453,,0.241732001,,0.0403,,0.0218,,,,0.0728,,,,0.038570698,,0.01,,0.0193142,,,,0.0427198,0,0.0022
454,,0.253363013,,0.0395,,0.0243,,,,0.0767,,0.0111,,0.040206701,,0.01,,0.0192126,,,,0.044645701,0,0.0036
455,,0.269338995,,0.0392,,0.0252,,,,0.0798,,0.0111,,0.042039499,,0.01,,0.0190893,,,,0.047116,0,0.0022
456,,0.281109989,,0.039,,0.0261,,,,0.083,,0.0111,,0.043915801,,0.01,,0.018852999,,,,0.049767599,0,0.0022
457,,0.292741001,,0.0383,,0.0274,,,,0.0874,,0.0139,,0.0459066,,0.01,,0.0187479,,,,0.0523495,0,0.0039
458,,0.308016002,,0.038,,0.0291,,,,0.0906,,0.0139,,0.047956198,,0.01,,0.0186303,,,,0.054973301,0,0.003
459,,0.318805993,,0.0378,,0.0307,,,,0.0943,,0.0139,,0.050087199,,0.01,,0.0184203,,,,0.057722598,0,0.0025
460,,0.32931599,,0.0378,,0.0325,,,,0.0995,,0.0167,,0.052363101,,0.01,,0.0183484,,,,0.0603185,0,0.0032
461,,0.342909008,,0.0381,,0.0341,,,,0.1037,,0.0167,,0.054614302,,0.01,,0.0182319,,,,0.063193403,0,0.0039
462,,0.352438003,,0.0378,,0.0357,,,,0.1083,,0.0194,,0.056960899,,0.01,,0.017918,,,,0.065510198,0,0.0042
463,,0.361546993,,0.0375,,0.0374,,,,0.115,,0.0194,,0.059418399,,0.01,,0.0178289,,,,0.068106003,0,0.0037
464,,0.373878986,,0.0375,,0.0413,,,,0.1205,,0.025,,0.061874699,,0.01,,0.017739899,,,,0.070646003,0,0.0044
465,,0.382847995,,0.0377,,0.0432,,,,0.1261,,0.0278,,0.064416997,,0.01,,0.017735301,,,,0.073214002,0,0.0035
466,,0.392096013,,0.0378,,0.0468,,,,0.1347,,0.0278,,0.0669581,,0.01,,0.0176691,,,,0.075823799,0,0.0056
467,,0.404848993,,0.0381,,0.0488,,,,0.1416,,0.0278,,0.069604099,,0.02,,0.017580001,,,,0.078642897,0,0.0063
468,,0.414797992,,0.0384,,0.0506,,,,0.1491,,0.0306,,0.072210103,,0.02,,0.0176086,,,,0.081238702,0,0.0056
469,,0.425588995,,0.0389,,0.0543,,,,0.1604,,0.0306,,0.074872598,,0.02,,0.017635999,,,,0.084043898,0,0.0052
470,,0.441563994,,0.0392,,0.0594,,,,0.1692,,0.0306,,0.077800304,,0.02,,0.0177125,,,,0.087114297,0,0.0041
471,,0.454596013,,0.0402,,0.0615,,,,0.1785,,0.0389,,0.080798797,,0.02,,0.01787,,,,0.090659201,0,0.0039
472,,0.469029993,,0.0406,,0.0669,,,,0.1918,,0.0389,,0.083889201,,0.02,,0.0179339,,,,0.094078399,0,0.0029
473,,0.49159199,,0.0416,,0.07,,,,0.2022,,0.0417,,0.087323703,,0.02,,0.018078901,,,,0.098055899,0,0.0033
474,,0.510230005,,0.0424,,0.0765,,,,0.2129,,0.0417,,0.0909338,,0.029999999,,0.018220499,,,,0.102242999,0,0.0023
475,,0.530969977,,0.0435,,0.0813,,,,0.2284,,0.0417,,0.094795004,,0.029999999,,0.0184328,,,,0.107504003,0,0.0016
476,,0.562359989,,0.0445,,0.0864,,,,0.2398,,0.0472,,0.098993301,,0.029999999,,0.0186269,,,,0.112905003,0,0.0008
477,,0.588145018,,0.046,,0.0914,,,,0.2513,,0.0472,,0.103628002,,0.029999999,,0.018828999,,,,0.118947998,0,0.0004
478,,0.615471005,,0.0474,,0.0983,,,,0.2671,,0.0556,,0.108815998,,0.029999999,,0.019173799,,,,0.125410005,0,0.0018
479,,0.655690014,,0.0489,,0.103,,,,0.2787,,0.0611,,0.114372998,,0.039999999,,0.0196144,,,,0.133365005,0,0.0029
480,0.00976434,0.686519027,,0.0503,,0.1075,,,,0.2898,,0.0611,,0.120512001,,0.039999999,,0.020093899,,,,0.141641006,0,0.0028
